RT @RightWingWatch: Lance Wallnau is now appealing to God's "reputation," urging Him to protect President Trump because it'll look bad for…,negative
RT @BettyBowers: Report this:

Did AT&amp;T cash to Trump's "personal attorney" grease wheels for net neutrality repeal?

Did Trump block Time…,negative
Former President Barack Obama criticized President  Trump's decision to pull the U.S. out of the Iran nuclear deal,… https://t.co/RpA2Ne85qK,negative
RT @JackPosobiec: Scoop: I’m told multiple high-level Trump outside advisors have alerted the President to WH staffer Uttam Dhillon’s leak…,negative
Opinion | Trump is no longer the worst person in government - The Washington Post https://t.co/K8CrajMTwo,negative
#TechNews RT indumania: Trump regularly uses Russian nesting doll-style companies to hide his ownership of assets.… https://t.co/d66K7sW3kd,negative
RT @Chris6375: @MichaelAvenatti @JohnOSullivan36 If that’s not the writing on the wall to Michael Cohen then he’s illiterate &amp; rightfully d…,negative
RT @lovetogive2: “You’re not just imagining it: the Hillary Clinton vs Donald Trump vote totals do look rigged” https://t.co/68aro0exqP via…,negative
Top Trump aide says protected immigrants need path to citizenship https://t.co/JDCnlrYHNy,positive
RT @Mikel_Jollett: If you ever wonder what kind of knee-jerk stupidity we're up against, just remember 41% of Trump supporters polled said…,negative
RT @Cirincione: .@AP is now confirming the details of what I reported two days ago. I said that Europeans "offered over a dozen ways to 'fi…,negative
#TechNews RT AlexWhitcomb: "After all, why was the self-proclaimed “King of Debt” suddenly waist-deep in cash and o… https://t.co/Y1OJh2iDDk,negative
RT @brianklaas: The new cover from Der Spiegel, one of the most respected publications in Germany. This is how our friends in Europe see Tr…,positive
RT @kylegriffin1: .@DerSPIEGEL editorial: "The West as we once knew it no longer exists. Our relationship to the United States cannot curre…,negative
RT @Mikel_Jollett: If you ever wonder what kind of knee-jerk stupidity we're up against, just remember 41% of Trump supporters polled said…,negative
